COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
PKD repeat	0.07005631519022411	0.7912548029424735	1	Environment	COG3291	GC_00008982, GC_00010641, GC_00020960, GC_00030337, GC_00032859, GC_00037347, GC_00037870, GC_00041636	0.12	0.1429	50	21
Zn-dependent protease with chaperone function	0.07005631519022411	0.7912548029424735	1	Environment	COG0501	GC_00008148, GC_00008469, GC_00013737, GC_00033789	0.12	0.1429	50	21
Secreted phosphatase, PhoX family	0.05889669123702107	0.8082483397956494	1	Environment	COG3211	GC_00001235, GC_00005810	0.54	0.5714	50	21
Choline dehydrogenase or related flavoprotein	0.05889669123702107	0.8082483397956494	1	Environment	COG2303	GC_00001624, GC_00002339, GC_00002361, GC_00002403, GC_00013046, GC_00014042, GC_00014317, GC_00021017, GC_00023200, GC_00033776, GC_00039757	0.54	0.5714	50	21
ABC-type Na+ efflux pump, permease component	0.05006447256414244	0.8229511246788287	1	Host	COG1668	GC_00004719, GC_00004740, GC_00006283, GC_00006564, GC_00007400, GC_00007653, GC_00007866, GC_00009010, GC_00009784, GC_00010650, GC_00011078, GC_00014546, GC_00018452, GC_00020154, GC_00021689, GC_00022250, GC_00025088, GC_00027607, GC_00028131, GC_00029761, GC_00031235, GC_00035419, GC_00039431	0.6	0.5714	50	21
DNA-binding transcriptional regulator, IscR family	0.04983808852094174	0.8233452515724415	1	Environment	COG1959	GC_00004891, GC_00008166, GC_00014047, GC_00014149, GC_00016532, GC_00020953, GC_00022989, GC_00026474, GC_00026800, GC_00026870, GC_00030083, GC_00042154	0.26	0.2857	50	21
Pyridoxal/pyridoxine/pyridoxamine kinase	0.04983808852094153	0.823345251572442	1	Host	COG2240	GC_00001094, GC_00005145, GC_00010526, GC_00028315, GC_00035756	0.74	0.7143	50	21
3-hydroxyacyl-CoA dehydrogenase	0.04983808852094153	0.823345251572442	1	Host	COG1250	GC_00001597, GC_00002023, GC_00002722, GC_00003005, GC_00003511, GC_00004631, GC_00005111, GC_00006376, GC_00008241, GC_00010276, GC_00011598, GC_00012348, GC_00013682, GC_00015326, GC_00024382, GC_00024722, GC_00025519, GC_00026354, GC_00026501, GC_00032414, GC_00034612, GC_00034654, GC_00041041	0.74	0.7143	50	21
Lysylphosphatidylglycerol synthetase, C-terminal domain, DUF2156 family	0.04621446010505503	0.8297864301205448	1	Host	COG2898	GC_00003210, GC_00004623, GC_00004919, GC_00011972, GC_00018062, GC_00019906, GC_00021266, GC_00030857, GC_00031746, GC_00036731	0.36	0.3333	50	21
Heme oxygenase	0.04621446010505483	0.8297864301205451	1	Environment	COG5398	GC_00002112, GC_00002322, GC_00004441, GC_00005593, GC_00005799, GC_00007447, GC_00019330, GC_00032468, GC_00032600, GC_00038336, GC_00041637	0.64	0.6667	50	21
Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	0.04621446010505483	0.8297864301205451	1	Environment	COG0378	GC_00001535, GC_00001965, GC_00002646	0.64	0.6667	50	21
Uncharacterized conserved protein, DUF58 family, contains vWF domain	0.04416953043725048	0.8335385181289547	1	Environment	COG1721	GC_00006447, GC_00032387, GC_00035697	0.08	0.0952	50	21
RecA-superfamily ATPase, KaiC/GvpD/RAD55 family	0.04416953043725048	0.8335385181289547	1	Environment	COG0467	GC_00014109, GC_00024177, GC_00030467, GC_00033510, GC_00038128, GC_00040000	0.08	0.0952	50	21
Uncharcterized protein, DUF927 family	0.04416953043725048	0.8335385181289547	1	Environment	COG5519	GC_00015831, GC_00025776, GC_00027320, GC_00027983, GC_00028949, GC_00042125	0.08	0.0952	50	21
Periplasmic component of the Tol biopolymer transport system	0.04416953043725048	0.8335385181289547	1	Environment	COG0823	GC_00003932	0.08	0.0952	50	21
Urea transporter	0.04416953043725048	0.8335385181289547	1	Environment	COG4413	GC_00012449, GC_00026004, GC_00031955, GC_00033147, GC_00033467, GC_00041539	0.08	0.0952	50	21
Putative NADPH-quinone reductase (modulator of drug activity B)	0.04416953043725048	0.8335385181289547	1	Environment	COG2249	GC_00023682, GC_00027710, GC_00029755, GC_00033296, GC_00036646, GC_00039995	0.08	0.0952	50	21
Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains	0.044169530437250464	0.8335385181289549	1	Host	COG3583	GC_00001100, GC_00002552, GC_00003794, GC_00005624, GC_00005679, GC_00014430, GC_00016705, GC_00017237, GC_00022491, GC_00022615, GC_00033197, GC_00037371	0.92	0.9048	50	21
Glycogen synthase	0.044169530437250464	0.8335385181289549	1	Host	COG0297	GC_00000756, GC_00013101, GC_00014795	0.92	0.9048	50	21
Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	0.044169530437250464	0.8335385181289549	1	Host	COG1215	GC_00001059, GC_00001512, GC_00001723, GC_00003097, GC_00005573, GC_00005861, GC_00008284, GC_00009955, GC_00012124, GC_00012250, GC_00012284, GC_00012315, GC_00012583, GC_00014407, GC_00015444, GC_00016630, GC_00017370, GC_00019611, GC_00020856, GC_00022446, GC_00023659, GC_00024946, GC_00025489, GC_00027517, GC_00028856, GC_00032287, GC_00032510, GC_00035949, GC_00036804, GC_00036874, GC_00037265, GC_00040901	0.92	0.9048	50	21
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	0.044169530437250464	0.8335385181289549	1	Host	COG1479	GC_00000941, GC_00002297, GC_00004892, GC_00008193, GC_00008930, GC_00009648, GC_00010348, GC_00011046, GC_00012726, GC_00015096, GC_00018850, GC_00019681, GC_00023998, GC_00024353, GC_00027127, GC_00027536, GC_00029230, GC_00030577, GC_00032865, GC_00033912, GC_00036985, GC_00037600, GC_00038330, GC_00039205, GC_00040993	0.92	0.9048	50	21
1,4-alpha-glucan branching enzyme	0.044169530437250464	0.8335385181289549	1	Host	COG0296	GC_00000749, GC_00001301, GC_00005310, GC_00006104, GC_00010452, GC_00023258, GC_00034237	0.92	0.9048	50	21
Signal recognition particle receptor subunit beta, a GTPase	0.04277569418995414	0.8361482047520501	1	Host	COG2229	GC_00013652, GC_00030146, GC_00032148	0.06	0.0476	50	21
Predicted esterase of the alpha/beta hydrolase fold	0.04277569418995414	0.8361482047520501	1	Host	COG3545	GC_00010602, GC_00012789	0.06	0.0476	50	21
TRAP-type uncharacterized transport system, fused permease components	0.04277569418995414	0.8361482047520501	1	Host	COG4666	GC_00005780, GC_00036518	0.06	0.0476	50	21
Aryl-phospho-beta-D-glucosidase BglC, GH1 family	0.04277569418995414	0.8361482047520501	1	Host	COG2730	GC_00011107, GC_00012569, GC_00034882	0.06	0.0476	50	21
TRAP-type uncharacterized transport system, periplasmic component	0.04277569418995414	0.8361482047520501	1	Host	COG2358	GC_00004885, GC_00035052	0.06	0.0476	50	21
tRNA nucleotidyltransferase (CCA-adding enzyme)	0.04277569418995414	0.8361482047520501	1	Host	COG1746	GC_00012846, GC_00013809, GC_00027572, GC_00027989	0.06	0.0476	50	21
Uncharacterized conserved protein YbdZ, MbtH family	0.04277569418995414	0.8361482047520501	1	Host	COG3251	GC_00006835, GC_00016398	0.06	0.0476	50	21
Uncharacterized lipoprotein YddW, UPF0748 family	0.04277569418995414	0.8361482047520501	1	Host	COG1649	GC_00014188, GC_00020517, GC_00030712, GC_00040607	0.06	0.0476	50	21
Predicted site-specific integrase-resolvase	0.04277569418995414	0.8361482047520501	1	Host	COG2452	GC_00005415	0.06	0.0476	50	21
Thymidine kinase	0.04277569418995414	0.8361482047520501	1	Host	COG1435	GC_00012203, GC_00030586, GC_00036214	0.06	0.0476	50	21
CRISPR/Cas system-associated endoribonuclease Cas2	0.04277569418995414	0.8361482047520501	1	Host	COG1343	GC_00006517	0.06	0.0476	50	21
Antirestriction protein	0.04277569418995414	0.8361482047520501	1	Host	COG4734	GC_00010011, GC_00010391, GC_00030680	0.06	0.0476	50	21
Lactam utilization protein B (function unknown)	0.04277569418995369	0.8361482047520509	1	Environment	COG1540	GC_00001356, GC_00001380, GC_00002014, GC_00002514, GC_00004365, GC_00005912, GC_00008938, GC_00009923, GC_00012373, GC_00023370, GC_00027039, GC_00036757	0.94	0.9524	50	21
Trehalose-6-phosphate synthase	0.04277569418995369	0.8361482047520509	1	Environment	COG0380	GC_00000704, GC_00030217	0.94	0.9524	50	21
Trehalose-6-phosphatase	0.04277569418995369	0.8361482047520509	1	Environment	COG1877	GC_00002187, GC_00003364, GC_00003938, GC_00004683, GC_00005878, GC_00006446, GC_00007689, GC_00010713, GC_00010714, GC_00010971, GC_00012408, GC_00012522, GC_00013133, GC_00016374, GC_00016491, GC_00017205, GC_00019652, GC_00019842, GC_00022391, GC_00025668, GC_00030319, GC_00030729, GC_00030740, GC_00031343, GC_00031352, GC_00038504, GC_00041640	0.94	0.9524	50	21
Peptide methionine sulfoxide reductase MsrA	0.04277569418995369	0.8361482047520509	1	Environment	COG0225	GC_00000627, GC_00020547, GC_00021258	0.94	0.9524	50	21
Nicotinamidase-related amidase	0.04277569418995369	0.8361482047520509	1	Environment	COG1335	GC_00001034, GC_00002516, GC_00006058, GC_00009804, GC_00011876, GC_00012217, GC_00012573, GC_00014124, GC_00015971, GC_00016843, GC_00018086, GC_00020300, GC_00023102, GC_00027707, GC_00027752, GC_00031876, GC_00036173, GC_00038616, GC_00041594	0.94	0.9524	50	21
Nitroreductase	0.037478821671263964	0.8464934227989914	1	Environment	COG0778	GC_00001567, GC_00002296, GC_00002460, GC_00003264, GC_00004143, GC_00004248, GC_00004999, GC_00005650, GC_00005934, GC_00014838, GC_00017230, GC_00017584, GC_00018281, GC_00019153, GC_00020685, GC_00024296, GC_00033582, GC_00034482, GC_00038581, GC_00038989	0.74	0.7619	50	21
Ankyrin repeat	0.037478821671263964	0.8464934227989914	1	Environment	COG0666	GC_00001063, GC_00003063, GC_00003390, GC_00011707, GC_00031564, GC_00031717	0.74	0.7619	50	21
ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	0.037478821671263936	0.8464934227989914	1	Host	COG1074	GC_00007898, GC_00008570, GC_00011338, GC_00017475, GC_00017737, GC_00019727, GC_00023685, GC_00027408, GC_00031278, GC_00031966, GC_00033518, GC_00034187, GC_00035056, GC_00038375	0.26	0.2381	50	21
Arginase family enzyme	0.0335143613479924	0.8547436592602409	1	Host	COG0010	GC_00001486, GC_00003502, GC_00009765, GC_00018869, GC_00019978, GC_00027545, GC_00028095, GC_00035543	0.5	0.4762	50	21
Abortive infection bacteriophage resistance protein	0.0335143613479924	0.8547436592602409	1	Host	COG4823	GC_00003007, GC_00004735, GC_00005587, GC_00005683, GC_00007098, GC_00008484, GC_00010635, GC_00011106, GC_00012391, GC_00013136, GC_00013281, GC_00013344, GC_00018341, GC_00019692, GC_00020144, GC_00021148, GC_00025176, GC_00030856, GC_00032812, GC_00033494, GC_00033699, GC_00033714, GC_00034071, GC_00036442, GC_00038418	0.5	0.4762	50	21
Site-specific DNA-cytosine methylase	0.03351436134799239	0.8547436592602409	1	Environment	COG0270	GC_00001990, GC_00004785, GC_00005217, GC_00005366, GC_00009548, GC_00010770, GC_00012648, GC_00013381, GC_00014863, GC_00015872, GC_00019490, GC_00019986, GC_00027096, GC_00028335, GC_00033127, GC_00033740, GC_00036548, GC_00036952, GC_00039644, GC_00040235	0.5	0.5238	50	21
DNA anti-recombination protein (rearrangement mutator) RmuC	0.03351436134799239	0.8547436592602409	1	Environment	COG1322	GC_00001335, GC_00022988, GC_00023324, GC_00037216	0.5	0.5238	50	21
Predicted peptidase	0.03302685956764134	0.8557923181564182	1	Host	COG4099	GC_00008293, GC_00011663, GC_00018601, GC_00027312, GC_00029177, GC_00030762, GC_00031730, GC_00034183, GC_00036443	0.16	0.1429	50	21
Organic hydroperoxide reductase OsmC/OhrA	0.022352337827434246	0.8811536000243567	1	Host	COG1764	GC_00002011, GC_00003676, GC_00004013, GC_00009686, GC_00010878	0.4	0.381	50	21
Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	0.022352337827434246	0.8811536000243567	1	Host	COG2723	GC_00002140, GC_00004110, GC_00005044, GC_00005901, GC_00006332, GC_00008208, GC_00011042, GC_00025193	0.4	0.381	50	21
Mg-chelatase subunit ChlD	0.022352337827434246	0.8811536000243567	1	Host	COG1240	GC_00001470	0.4	0.381	50	21
Acyl dehydratase	0.022352337827434142	0.8811536000243569	1	Environment	COG2030	GC_00001871, GC_00002341, GC_00002994, GC_00004718, GC_00005494, GC_00006349, GC_00007407, GC_00012587, GC_00012839, GC_00013125, GC_00015640, GC_00020417, GC_00021859, GC_00030487, GC_00035674	0.6	0.619	50	21
O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	0.021110578667764508	0.8844781208100329	1	Host	COG2873	GC_00000260, GC_00004951	0.96	0.9524	50	21
CRISPR/Cas system Type II  associated protein, contains McrA/HNH and RuvC-like nuclease domains	0.021110578667764508	0.8844781208100329	1	Host	COG3513	GC_00001355, GC_00002983, GC_00003790, GC_00004684, GC_00004722, GC_00005843, GC_00006963, GC_00007579, GC_00008250, GC_00009670, GC_00011171, GC_00013300, GC_00019109, GC_00020750, GC_00022627, GC_00022885, GC_00024089, GC_00025864, GC_00027003, GC_00028029, GC_00033834, GC_00035517, GC_00040497, GC_00040821	0.96	0.9524	50	21
Deoxyribose-phosphate aldolase	0.021110578667764508	0.8844781208100329	1	Host	COG0274	GC_00001285, GC_00002525, GC_00003309, GC_00004540, GC_00006365, GC_00008609, GC_00009843, GC_00010235, GC_00010423, GC_00012434, GC_00012452, GC_00012536, GC_00013931, GC_00015672, GC_00018620, GC_00021675, GC_00021909, GC_00022359, GC_00022596, GC_00023447, GC_00024293, GC_00026028, GC_00026168, GC_00030244, GC_00030448, GC_00033665, GC_00033886, GC_00037109, GC_00037569, GC_00037666, GC_00038296, GC_00038532	0.96	0.9524	50	21
Fe2+ or Zn2+ uptake regulation protein	0.021110578667764508	0.8844781208100329	1	Host	COG0735	GC_00000654, GC_00008083	0.96	0.9524	50	21
Galactose-1-phosphate uridylyltransferase	0.021110578667764508	0.8844781208100329	1	Host	COG1085	GC_00000693, GC_00001396	0.96	0.9524	50	21
Uncharacterized protein, contains Zn-finger domain of CDGSH type	0.021110578667764165	0.8844781208100336	1	Environment	COG3369	GC_00012897, GC_00015639	0.04	0.0476	50	21
Uncharacterized protein YycO	0.021110578667764165	0.8844781208100336	1	Environment	COG3863	GC_00009779, GC_00014822, GC_00028455	0.04	0.0476	50	21
N-formylglutamate amidohydrolase	0.021110578667764165	0.8844781208100336	1	Environment	COG3741	GC_00005569	0.04	0.0476	50	21
Uncharacterized protein involved in exopolysaccharide biosynthesis	0.021110578667764165	0.8844781208100336	1	Environment	COG3206	GC_00020014, GC_00033055, GC_00042113	0.04	0.0476	50	21
Phosphotransferase system, galactitol-specific IIB component	0.021110578667764165	0.8844781208100336	1	Environment	COG3414	GC_00011970, GC_00016678	0.04	0.0476	50	21
Predicted NTPase, NACHT family domain	0.021110578667764165	0.8844781208100336	1	Environment	COG5635	GC_00014934, GC_00018959, GC_00040008	0.04	0.0476	50	21
Uncharacterized membrane protein YhfC	0.021110578667764165	0.8844781208100336	1	Environment	COG4377	GC_00018313, GC_00033502, GC_00034435	0.04	0.0476	50	21
Recombinational DNA repair protein RecT	0.021110578667764165	0.8844781208100336	1	Environment	COG3723	GC_00008994	0.04	0.0476	50	21
Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)	0.021110578667764165	0.8844781208100336	1	Environment	COG2313	GC_00013913, GC_00025256	0.04	0.0476	50	21
Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain	0.021110578667764165	0.8844781208100336	1	Environment	COG3609	GC_00012671, GC_00021998	0.04	0.0476	50	21
Putative component of the toxin-antitoxin plasmid stabilization module	0.021110578667764165	0.8844781208100336	1	Environment	COG3657	GC_00012676, GC_00025868	0.04	0.0476	50	21
Uncharacterized membrane protein YhaH, DUF805 family	0.021110578667764165	0.8844781208100336	1	Environment	COG3152	GC_00017083, GC_00027168, GC_00029163	0.04	0.0476	50	21
Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	0.021110578667764165	0.8844781208100336	1	Environment	COG4625	GC_00012107, GC_00032760, GC_00032827	0.04	0.0476	50	21
Type IV secretory pathway, VirB4 component	0.021110578667764165	0.8844781208100336	1	Environment	COG3451	GC_00006915	0.04	0.0476	50	21
Uncharacterized domain associated with phage/plasmid primase	0.021110578667764165	0.8844781208100336	1	Environment	COG4643	GC_00012646, GC_00022333	0.04	0.0476	50	21
Zn-dependent peptidase ImmA, M78 family	0.015601982774064093	0.900596466306115	1	Environment	COG2856	GC_00003245, GC_00006281, GC_00006844, GC_00007222, GC_00007494, GC_00009495, GC_00009943, GC_00010031, GC_00011376, GC_00011595, GC_00011853, GC_00013963, GC_00014586, GC_00015768, GC_00016628, GC_00017613, GC_00024903, GC_00025179, GC_00031451, GC_00033524, GC_00033790, GC_00034811, GC_00034997, GC_00037956, GC_00038090, GC_00039231, GC_00039385, GC_00040780, GC_00041570	0.46	0.4762	50	21
Fatty acid desaturase	0.015601982774064093	0.900596466306115	1	Environment	COG3239	GC_00001417, GC_00003415, GC_00005913, GC_00038438	0.46	0.4762	50	21
Glutamine amidotransferase PdxT (pyridoxal biosynthesis)	0.014518910354771743	0.9040914828613117	1	Environment	COG0311	GC_00001669, GC_00001729, GC_00004469, GC_00009907	0.7	0.7143	50	21
Ribosomal protein L34	0.014518910354771743	0.9040914828613117	1	Environment	COG0230	GC_00001045	0.7	0.7143	50	21
Predicted phospholipase, patatin/cPLA2 family	0.014518910354771743	0.9040914828613117	1	Environment	COG4667	GC_00001018, GC_00003018, GC_00004486, GC_00035470	0.7	0.7143	50	21
Non-ribosomal peptide synthetase component E (peptide arylation enzyme)	0.014518910354771509	0.9040914828613124	1	Host	COG1021	GC_00002759, GC_00003468, GC_00006847, GC_00012936, GC_00014906, GC_00026181, GC_00038066	0.3	0.2857	50	21
ATPase/GTPase, AAA15 family	0.014518910354771509	0.9040914828613124	1	Host	COG1106	GC_00007399, GC_00007546, GC_00013982, GC_00015194, GC_00018071, GC_00019280, GC_00020306, GC_00021582, GC_00023381, GC_00023431, GC_00024274, GC_00024281, GC_00025448, GC_00027712, GC_00028561, GC_00032498, GC_00033413, GC_00034455, GC_00038212, GC_00038586, GC_00041352	0.3	0.2857	50	21
C-terminal processing protease CtpA/Prc, contains a PDZ domain	0.01194507120667937	0.9129696944707109	1	Environment	COG0793	GC_00004799, GC_00005690, GC_00005871, GC_00005970, GC_00007278, GC_00010456, GC_00034008, GC_00035786	0.32	0.3333	50	21
Predicted ATPase of the ABC class	0.01194507120667937	0.9129696944707109	1	Environment	COG3044	GC_00004503, GC_00005190, GC_00005591, GC_00009317, GC_00012094, GC_00021139, GC_00023880, GC_00035286, GC_00039373	0.32	0.3333	50	21
Restriction endonuclease	0.010900394874536265	0.9168479897181613	1	Environment	COG3587	GC_00002455, GC_00007006, GC_00008115	0.18	0.1905	50	21
Isopentenyldiphosphate isomerase	0.010900394874535972	0.9168479897181623	1	Host	COG1443	GC_00000970, GC_00003498, GC_00007229, GC_00014799	0.82	0.8095	50	21
Uncharacterized conserved protein YdiU, UPF0061 family	0.010900394874535972	0.9168479897181623	1	Host	COG0397	GC_00002607, GC_00003348, GC_00003362, GC_00003641, GC_00005001, GC_00007126, GC_00007488, GC_00009935, GC_00010429, GC_00014090, GC_00015520, GC_00016025, GC_00023154, GC_00023983, GC_00025363, GC_00025484, GC_00026037, GC_00026779, GC_00029022, GC_00034573, GC_00036326, GC_00037619	0.82	0.8095	50	21
